username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
awaz_gujjer,02-06-2016 16:15,0,1,@anaulhaq aap ye kion nahi kahte ke ham aise PM ke follower hain. jis ko dekh kar bhi theek se parhna nahi aata. aap se bare anaulhaq bi hen,,@anaulhaq,,7.38E+17,https://twitter.com/awaz_gujjer/status/738320613970956288
SuryaNLenka,02-06-2016 08:55,1,2,@HartoshSinghBal @AashishKhetan hartosh is unbelievable. I am a avid follower of AAP but think it's time to give a 2nd thought abt aap (2/2),,@HartoshSinghBal @AashishKhetan,,7.38E+17,https://twitter.com/SuryaNLenka/status/738209987550453760
vikashvikash84,02-06-2016 07:42,0,1,@Ankita_Shah8 kya baat hai me to Aap ka follower ho gaya,,@Ankita_Shah8,,7.38E+17,https://twitter.com/vikashvikash84/status/738191445543288832
DishaD08,01-06-2016 23:05,0,0,"@p_dubey21 AAP follower ? #ModiKaGhantaVikas tak toh thik hai but, are you seriously talking on behalf of the man who gave 10k to a rapist?",,@p_dubey21,#ModiKaGhantaVikas,7.38E+17,https://twitter.com/DishaD08/status/738061532639068160
Me_poO11,01-06-2016 21:29,4,1,@swesingh007 @AnjuNagarajan congratulations mummy...30k follower 's Jaldi lakhpati bano aap pic.twitter.com/AgXYgZ5Cry,,@swesingh007 @AnjuNagarajan,,7.38E+17,https://twitter.com/Me_poO11/status/738037232821370880
vijju1408,01-06-2016 21:05,2,1,@swesingh007 @AnjuNagarajan congratulations mummy...30k follower 's Jaldi lakhpati bano aap,,@swesingh007 @AnjuNagarajan,,7.38E+17,https://twitter.com/vijju1408/status/738031138145480704
swesingh007,01-06-2016 20:56,17,7,@AnjuNagarajan congratulations mummy...30k follower 's Jaldi lakhpati bano aap pic.twitter.com/YSXcpQhOnD,,@AnjuNagarajan,,7.38E+17,https://twitter.com/swesingh007/status/738028857815666689
vaaasu,01-06-2016 17:42,0,1,@NivasanN More than Einstein.. Ardent follower of #AAP and #ArvindKejriwal @nikes225 @raincloudg,,@NivasanN @nikes225 @raincloudg,#AAP #ArvindKejriwal,7.38E+17,https://twitter.com/vaaasu/status/737980120762195970
ankurjainiam,01-06-2016 16:45,0,0,@UturnSarkar @Komal_Indian You are AAP bhakt or AAP follower ?,,@UturnSarkar @Komal_Indian,,7.38E+17,https://twitter.com/ankurjainiam/status/737965904525447168
NSisodiya86,01-06-2016 13:38,0,0,#AAP spoke person @ashutosh83B insulting Baba Saheb. @ArvindKejriwal u and u r follower don't have right 2 insult him https:// twitter.com/AsYouNotWish/s tatus/737913092722597888 …,,@ashutosh83B @ArvindKejriwal,#AAP,7.38E+17,https://twitter.com/NSisodiya86/status/737918670664564736
Atikahm31665125,01-06-2016 13:36,0,0,@UPCM_ Follower sir.. Muslim hu ek peon ki naukri apne office me kahi bhi muslim par karam kare cm saheb aap se ummed hai 9125150210,,@UPCM_,,7.38E+17,https://twitter.com/Atikahm31665125/status/737918164609204225
